"","kmeans_cluster"
"GMPPA",10
"GMPR",10
"GMPR2",10
"GNG3",10
"GPAA1",10
"GPBP1",10
"GPR34",10
"GPR45",10
"GRAMD2",10
"GTPBP10",10
"H2AFJ",10
"HAL",10
"HCFC2",10
"HCN1",10
"HCN2",10
"HIST2H2BE",10
"HOXB3",10
"HPS4",10
"HSF2",10
"HSPB9",10
"IGF1R",10
"IGHV1-58",10
"IGHV14-4",10
"IL1A",10
"ITGB3BP",10
"ITLN1",10
"KATNAL1",10
"KCNA2",10
"KCTD10",10
"KIF3C",10
"KNOP1",10
"KTI12",10
"LCN9",10
"LDHA-PS",10
"LETM1",10
"LGR5",10
"LIG4",10
"LILRB4A",10
"LIN54",10
"LRAT",10
"LRIF1",10
"LRRIQ3",10
"LYSMD2",10
"MAP2K6",10
"MAP3K10",10
"MICU2",10
"MIR1904",10
"MIR3057",10
"MIR7088",10
"MIR9-3",10
"MMP14",10
"MMP21",10
"MMU-MIR-7015",10
"MMU-MIR-9768",10
"MOSPD1",10
"MPP2",10
"MRPS18A",10
"MRPS2",10
"MYH9",10
"MYZAP",10
"N-R5S192",10
"NAGK",10
"NAT14",10
"NCOA7",10
"NIPA2",10
"NKX2-4",10
"NLK",10
"NLN",10
"NOP56",10
"NR1D1",10
"NUP155",10
"OASL2",10
"ODF2L",10
"OLFR1342",10
"OLFR342",10
"OLFR813",10
"OLFR818",10
"OTUB1",10
"OTUD1",10
"PACRGL",10
"PARP8",10
"PDZD7",10
"PHC2",10
"PKD1L3",10
"PLEKHO1",10
"PNPT1",10
"POLQ",10
"POLR3GL",10
"POMK",10
"POMT2",10
"POU2F3",10
"PPARG",10
"PPIL2",10
"PPM1G",10
"PPP1R3E",10
"PPP2R3D",10
"PRKAG2OS1",10
"PRR15L",10
"PRX",10
"PSPC1",10
"PTF1A",10
"PTGER4",10
"PTGES2",10
"PTPRCAP",10
"PUF60",10
"PWWP2B",10
"PZP",10
"RAMP1",10
"RASL11B",10
"RBM44",10
"RCC2",10
"RELA",10
"RGS9",10
"RHBDD1",10
"RNF10",10
"RNF144B",10
"RNF216",10
"RNF31",10
"RP23-10D15.2",10
"RP23-123I10.4",10
"RP23-240E15.3",10
"RP23-246J18.4",10
"RP23-259J8.4",10
"RP23-336O18.4",10
"RP23-342N8.2",10
"RP23-375H15.2",10
"RP23-397C5.5",10
"RP23-406G9.3",10
"RP23-42H18.5",10
"RP23-434H17.4",10
"RP23-473G18.1",10
"RP24-239E2.2",10
"RP24-266P6.3",10
"RP24-351E22.2",10
"RP24-473H20.3",10
"RPL23",10
"RRAD",10
"RRP1",10
"RRP8",10
"SAFB2",10
"SEC31A",10
"SEC62",10
"SERPINA11",10
"SERTAD2",10
"SFT2D1",10
"SGPL1",10
"SIRT4",10
"SLC25A1",10
"SLC25A24",10
"SLC25A51",10
"SLC35D1",10
"SLC38A1",10
"SLC38A2",10
"SLC4A2",10
"SMO",10
"SNAI1",10
"SNF8",10
"SNPH",10
"SNRK",10
"SNW1",10
"SPTLC2",10
"SRGAP2",10
"STT3B",10
"STX1A",10
"SULT1E1",10
"SYF2",10
"SYNDIG1L",10
"TAF8",10
"TARBP2",10
"TBC1D10C",10
"TBC1D32",10
"TFAP2E",10
"TMED7",10
"TMEM245",10
"TMEM41B",10
"TMEM89",10
"TMPPE",10
"TPPP3",10
"TPRN",10
"TRADD",10
"TRIM39",10
"TRMT11",10
"TRMT1L",10
"TSC22D3",10
"1600010M07RIK",11
"1600014C23RIK",11
"1700011E24RIK",11
"1700109G14RIK",11
"1810044D09RIK",11
"2810468N07RIK",11
"4833412C05RIK",11
"4930442H23RIK",11
"4930458D05RIK",11
"4930566F21RIK",11
"4930588K23RIK",11
"4931440F15RIK",11
"4933405E24RIK",11
"4933406I18RIK",11
"4933407L21RIK",11
"5730409E04RIK",11
"5730435O14RIK",11
"6530402F18RIK",11
"9330104G04RIK",11
"9330159F19RIK",11
"9330182L06RIK",11
"9430015G10RIK",11
"9430062P05RIK",11
"A830031A19RIK",11
"AA387200",11
"ABCA7",11
"AC113302.1",11
"AC124613.1",11
"AC132147.1",11
"AC151286.1",11
"ACADSB",11
"ADAM23",11
"ADAMTS15",11
"ADAMTS7",11
"ADGRG3",11
"ADM2",11
"AGMAT",11
"AK7",11
"AL671921.1",11
"ALDH18A1",11
"ALDOART1",11
"ALG11",11
"ALG14",11
"ALOX12B",11
"ANKRD26",11
"ANO1",11
"ANTXR1",11
"AP3B2",11
"APOA1BP",11
"APOM",11
"ARRDC4",11
"ASIC1",11
"ASMT",11
"ATP1B2",11
"ATP5G3",11
"ATP5L-PS1",11
"B930095G15RIK",11
"BCL11A",11
"BOP1",11
"BUB1B",11
"C1QB",11
"CACNG2",11
"CAPN1",11
"CAR5A",11
"CASKIN2",11
"CBLN2",11
"CCDC107",11
"CCDC110",11
"CCDC181",11
"CCIN",11
"CCS",11
"CD163L1",11
"CD247",11
"CD7",11
"CDK5R1",11
"CELF5",11
"CEMIP",11
"CEP290",11
"CHRM4",11
"CHRNB1",11
"CILP2",11
"CLEC9A",11
"CLIC6",11
"CLIP1",11
"CNTROB",11
"COL20A1",11
"COLGALT2",11
"COMTD1",11
"COX14",11
"CPNE3",11
"CPT1A",11
"CXX1A",11
"D10WSU102E",11
"D2WSU81E",11
"DACT1",11
"DCAF8",11
"DCDC2B",11
"DDX17",11
"DDX19A",11
"DECR1",11
"DNAH7B",11
"DNAL4",11
"DNMT3A-PS1",11
"DUSP3",11
"DYNC1LI1",11
"DYRK4",11
"E130114P18RIK",11
"E330021D16RIK",11
"EBNA1BP2",11
"EMID1",11
"EPHA6",11
"EPS8L2",11
"ERICH5",11
"ESRRG",11
"EXD1",11
"EXOC3L4",11
"EXOC4",11
"EXOSC9",11
"F8A",11
"FAM132A",11
"FAM96A",11
"FARP2",11
"FBXO16",11
"FBXO6",11
"FCGR2B",11
"FERMT1",11
"FGF4",11
"FGFR1",11
"FMO2",11
"FNDC7",11
"FOXI2",11
"FZD3",11
"FZD4",11
"GAB1",11
"GATA4",11
"GATSL3",11
"GIT2",11
"GJB2",11
"GLIPR1L1",11
"GM10013",11
"GM10392",11
"GM11475",11
"GM11684",11
"GM11702",11
"GM11744",11
"GM12009",11
"GM12057",11
"GM12315",11
"GM12531",11
"GM12730",11
"GM12962",11
"GM13017",11
"GM13838",11
"GM13840",11
"GM13844",11
"GM14220",11
"GM14290",11
"GM14917",11
"GM14985",11
"GM15198",11
"GM15408",11
"GM15547",11
"GM15648",11
"GM15704",11
"GM15800",11
"GM15998",11
"GM16196",11
"GM16315",11
"GM17387",11
"GM19345",11
"GM20403",11
"GM20425",11
"GM21976",11
"GM22264",11
"GM23270",11
"GM23698",11
"GM23743",11
"GM24008",11
"GM24026",11
"GM24029",11
"GM24039",11
"GM24050",11
"GM24225",11
"GM24368",11
"GM24473",11
"GM25014",11
"GM25459",11
"GM25726",11
"GM25776",11
"GM26051",11
"GM26132",11
"GM26255",11
"GM26316",11
"GM26565",11
"GM26737",11
"GM27163",11
"GM28053",11
"GM28063",11
"GM28535",11
"GM34767",11
"GM37030",11
"GM37092",11
"GM37180",11
"GM37247",11
"GM37356",11
"GM37699",11
"GM37742",11
"GM38256",11
"GM4279",11
"GM568",11
"GM5682",11
"GM5805",11
"GM5819",11
"GM6525",11
"GM7292",11
"GM7418",11
"GM7580",11
"GM7584",11
"GM8835",11
"GM973",11
"GPATCH3",11
"GPD1",11
"GPR157",11
"GPR83",11
"GPS1",11
"GRN",11
"GSDMA",11
"GSPT2",11
"GSTM5",11
"GTF3C1",11
"H2-EB1",11
"H2-M3",11
"H2-Q1",11
"HAGLR",11
"HAPLN2",11
"HAPLN4",11
"HCST",11
"HOXA9",11
"HOXB6",11
"HOXD13",11
"HSH2D",11
"HSPG2",11
"HSPH1",11
"IFI30",11
"IFNGR2",11
"IGF2BP2",11
"IGFBP5",11
"IGHD6-1",11
"IGHJ1",11
"IGHV1-26",11
"IGHV4-1",11
"IKZF5",11
"IL17RD",11
"IL9R",11
"IMPDH2",11
"IP6K2",11
"IRF5",11
"ISM1",11
"JPH1",11
"KCNC3",11
"KCNH2",11
"KCNIP4",11
"KIRREL2",11
"KLF14",11
"KLF5",11
"KRT222",11
"LAT2",11
"LEFTY2",11
"LGALS3BP",11
"LIMK2",11
"LMNB2",11
"LRRC27",11
"LRRC4",11
"LSS",11
"LTB4R1",11
"LYAR",11
"MAP7",11
"MARS",11
"MAZ",11
"MB21D2",11
"MBOAT2",11
"MED24",11
"MFAP3L",11
"MFGE8",11
"MFHAS1",11
"MIR17",11
"MIR1906-1",11
"MIR194-2",11
"MIR3089",11
"MIR491",11
"MIR503",11
"MIR6943",11
"MIR6946",11
"MIR6959",11
"MIR7225",11
"MIR7654",11
"MIR7658",11
"MMU-MIR-7232",11
"MRPL24",11
"MRPL37",11
"MRPS14",11
"MYLK2",11
"MYOM1",11
"N-R5S47",11
"N6AMT2",11
"NAA10",11
"NCR3-PS",11
"NDST2",11
"NDUFAF3",11
"NEK5",11
"NEURL4",11
"NFIX",11
"NISCH",11
"NMNAT3",11
"NOD2",11
"NOL4",11
"NOTCH3",11
"NPN2",11
"NR1H3",11
"NR5A1OS",11
"NRBP1",11
"NRG4",11
"OAT",11
"OAZ1",11
"OLFM1",11
"OLFR1151",11
"OLFR177",11
"OLFR260-PS1",11
"OLFR338",11
"OMP",11
"OSBP2",11
"PAK1",11
"PAK6",11
"PARD6G",11
"PARVG",11
"PCYT1B",11
"PDXDC1",11
"PEA15A",11
"PEBP1",11
"PEX10",11
"PGLYRP4",11
"PHC3",11
"PHF3",11
"PIAS4",11
"PIFO",11
"PIGYL",11
"PLA2G2C",11
"PLD6",11
"PLIN5",11
"PLXNB2",11
"PMEPA1",11
"PNN",11
"POLDIP3",11
"POLR3A",11
"POU4F3",11
"PPARA",11
"PPIB",11
"PRDX2",11
"PRODH",11
"PRPF6",11
"PRPF8",11
"PRPH",11
"PTPRV",11
"RAB5B",11
"RBM45",11
"RBPJL",11
"RELN",11
"RHD",11
"RIN1",11
"RNF128",11
"RNF170",11
"RP23-169L4.6",11
"RP23-21F2.6",11
"RP23-234P16.4",11
"RP23-261D18.1",11
"RP23-336I5.4",11
"RP23-337K7.2",11
"RP23-421B1.3",11
"RP23-453I14.1",11
"RP23-477A19.4",11
"RP23-8L20.6",11
"RP24-140D11.5",11
"RP24-182A8.2",11
"RP24-182K13.1",11
"RP24-289G19.2",11
"RP24-378G4.6",11
"RP24-418J2.4",11
"RPL30-PS5",11
"RPS10",11
"RPSA-PS2",11
"RPUSD3",11
"RRAGD",11
"RRP12",11
"RSL1",11
"RSPH10B",11
"RSPH3B",11
"RSPRY1",11
"RSRC2",11
"RTF1",11
"S100A2",11
"S100A7A",11
"SAMD11",11
"SAXO1",11
"SCARNA4",11
"SCLT1",11
"SDK1",11
"SDK2",11
"SEC23A",11
"SERPINA1B",11
"SERPINA3H",11
"SERPINE2",11
"SEZ6L",11
"SFRP4",11
"SGSM1",11
"SH2B2",11
"SHANK2",11
"SKAP2",11
"SLC18A2",11
"SLC22A17",11
"SLC2A2",11
"SLC36A3OS",11
"SLC44A2",11
"SLC44A4",11
"SLC9B1",11
"SLMO1",11
"SMIM12",11
"SNORD87",11
"SOX6OS",11
"SRM",11
"SRP19",11
"SRPK1",11
"SRRM3",11
"STAC2",11
"SULT4A1",11
"SUSD6",11
"SYNPR",11
"SYT16",11
"SYT6",11
"TBC1D10B",11
"TBPL2",11
"TCERG1L",11
"TCF24",11
"TEAD4",11
"TEX261",11
"TFE3",11
"TGM2",11
"TK1",11
"TMC5",11
"TMEM151A",11
"TMEM229A",11
"TMEM253",11
"TMEM63B",11
"TMEM95",11
"TMIE",11
"TNPO3",11
"TOB1",11
"TOMM22",11
"TRAC",11
"TRAJ58",11
"TRAJ8",11
"TRAPPC13",11
"TRAV15D-3",11
"TRBJ2-4",11
"TRBV16",11
"TRIM60",11
"TRIM65",11
"TRMT6",11
"TRPC6",11
"TSPAN1",11
"1700025M24RIK",12
"1700028I16RIK",12
"1700052K11RIK",12
"1700072G22RIK",12
"2210016L21RIK",12
"2310040G24RIK",12
"4930429P21RIK",12
"4930442L01RIK",12
"4930451I11RIK",12
"4930483J18RIK",12
"4933400C23RIK",12
"5033417F24RIK",12
"5330439K02RIK",12
"6030442K20RIK",12
"6030458C11RIK",12
"6330562C20RIK",12
"A230059L01RIK",12
"A330033J07RIK",12
"A530032D15RIK",12
"A730098A19RIK",12
"A830012C17RIK",12
"ABL1",12
"AC026385.1",12
"AC102815.1",12
"AC136146.1",12
"ACAD9",12
"ACVR1",12
"ACY1",12
"ADAM18",12
"ADAMTSL4",12
"ADRA1D",12
"AFG3L2",12
"AGPAT9",12
"AGR3",12
"AKIP1",12
"AL928681.1",12
"ALKBH8",12
"AMFR",12
"AMZ1",12
"ARHGAP25",12
"ARHGAP27OS3",12
"ARL2",12
"ARL9",12
"ARRDC1",12
"ASH1L",12
"ATF3",12
"ATP8B2",12
"AY512915",12
"B3GALT6",12
"B430219N15RIK",12
"B930041F14RIK",12
"BAHCC1",12
"BAZ1B",12
"BCS1L",12
"BEND3",12
"BEST3",12
"BOLA2",12
"BST1",12
"BTBD18",12
"C130026I21RIK",12
"C130060C02RIK",12
"C1RL",12
"CALCA",12
"CAR9",12
"CASP2",12
"CBARP",12
"CCDC28B",12
"CCT4",12
"CD109",12
"CD14",12
"CDC34",12
"CDIP1",12
"CDK10",12
"CDK18",12
"CELF6",12
"CENPL",12
"CFAP46",12
"CHD3",12
"CHDH",12
"CLEC4B2",12
"CNTD1",12
"COL6A4",12
"COL7A1",12
"COPS5",12
"COQ10A",12
"CORO1B",12
"CSTB",12
"CSTF3",12
"CTF2",12
"CTU2",12
"CUL7",12
"CYB5D2",12
"CYP17A1",12
"D11BHM181E",12
"D630044L22RIK",12
"DANCR",12
"DCLK3",12
"DKC1",12
"DNAL1",12
"DNER",12
"DNPH1",12
"DOK7",12
"DPH6",12
"DTD2",12
"DUOX1",12
"DUSP14",12
"DYNLT3",12
"E130201H02RIK",12
"EBF3",12
"EFCAB11",12
"EFCAB3",12
"EFHD1OS",12
"EIF5B",12
"EMC4",12
"EPCAM",12
"ERCC6",12
"FABP3-PS1",12
"FAM129B",12
"FAM132B",12
"FAM166B",12
"FAM65A",12
"FAM78A",12
"FAM83D",12
"FANCG",12
"FAR1",12
"FBLN7",12
"FBXL6",12
"FBXO17",12
"FGF8",12
"FOSL2",12
"FPGS",12
"FTX",12
"FXN",12
"GABRG3",12
"GATA5",12
"GEMIN6",12
"GEN1",12
"GIPC1",12
"GLIS1",12
"GM10840",12
"GM11025",12
"GM11491",12
"GM11629",12
"GM12042",12
"GM12863",12
"GM13131",12
"GM13202",12
"GM13833",12
"GM14226",12
"GM15415",12
"GM15441",12
"GM15558",12
"GM15730",12
"GM15873",12
"GM15910",12
"GM15987",12
"GM16125",12
"GM17968",12
"GM18025",12
"GM18698",12
"GM18709",12
"GM21988",12
"GM22357",12
"GM22502",12
"GM22663",12
"GM23646",12
"GM23802",12
"GM23805",12
"GM23991",12
"GM24118",12
"GM24395",12
"GM24451",12
"GM24472",12
"GM24505",12
"GM24567",12
"GM24723",12
"GM24731",12
"GM24748",12
"GM24771",12
"GM24854",12
"GM24878",12
"GM24887",12
"GM24919",12
"GM25117",12
"GM25394",12
"GM25417",12
"GM25520",12
"GM25548",12
"GM25799",12
"GM25801",12
"GM25856",12
"GM26083",12
"GM26447",12
"GM26461",12
"GM26634",12
"GM26654",12
"GM26812",12
"GM27494",12
"GM27761",12
"GM27960",12
"GM28064",12
"GM28076",12
"GM28802",12
"GM29459",12
"GM29514",12
"GM33533",12
"GM36975",12
"GM37141",12
"GM37246",12
"GM37432",12
"GM37452",12
"GM37488",12
"GM37559",12
"GM37608",12
"GM3765",12
"GM37779",12
"GM37811",12
"GM37909",12
"GM37968",12
"GM38058",12
"GM38364",12
"GM4459",12
"GM4761",12
"GM5134",12
"GM5564",12
"GM5901",12
"GM6153",12
"GM7276",12
"GM9246",12
"GM9312",12
"GM9553",12
"GM9848",12
"GM9916",12
"GSTK1",12
"HEATR9",12
"HIST1H2AL",12
"HOGA1",12
"HOPXOS",12
"HOXA4",12
"HS1BP3",12
"HSD17B7",12
"HSPB1",12
"IARS",12
"IGHV1-2",12
"IL4I1",12
"IPO13",12
"IRAK2",12
"ITGB4",12
"JOSD1",12
"KCMF1",12
"KIF11",12
"KISS1R",12
"KLRG2",12
"LAMB3",12
"LHX8",12
"LURAP1",12
"LY6G6F",12
"LY6H",12
"MAP1B",12
"MARVELD3",12
"MAU2",12
"MAVS",12
"MCF2L",12
"MECR",12
"MED29",12
"MED9OS",12
"MEP1B",12
"METTL5",12
"MFAP2",12
"MFN2",12
"MFSD10",12
"MIR1905",12
"MIR210",12
"MIR3102",12
"MIR335",12
"MIR5617",12
"MIR5618",12
"MIR615",12
"MIR6930",12
"MIR6999",12
"MIR7093",12
"MIR7675",12
"MIR882",12
"MLLT11",12
"MMADHC",12
"MMP10",12
"MOB1A",12
"MRGPRA4",12
"MROH5",12
"MRPL43",12
"MRPS10",12
"MTA1",12
"MTCH2",12
"MYBPC3",12
"MYCN",12
"MYL6B",12
"MYO9A",12
"N-R5S51",12
"N-R5S89",12
"NARF",12
"NCAM1",12
"NCOA3",12
"NLRP12",12
"NOP14",12
"NOVA2",12
"NPHS2",12
"NQO2",12
"NRXN3",12
"NSMF",12
"OLFR632",12
"OLFR735",12
"OPN3",12
"OSCP1",12
"OTOA",12
"PAFAH2",12
"PDCD6",12
"PDGFC",12
"PES1",12
"PHF10",12
"PIK3R2",12
"PIP5K1A",12
"PLATR8",12
"PLOD3",12
"PRPS1L3",12
"PSMA4",12
"PSMB10",12
"PXMP4",12
"RECQL4",12
"RFC1",12
"RGAG1",12
"RIMKLB",12
"RN7S2",12
"RNF111",12
"RNGTT",12
"RORC",12
"RP23-100I21.8",12
"RP23-100J23.5",12
"RP23-117I19.3",12
"RP23-131F7.2",12
"RP23-14P17.5",12
"RP23-178N8.5",12
"RP23-18K20.2",12
"RP23-200M5.7",12
"RP23-201C9.2",12
"RP23-238I17.5",12
"RP23-256O22.3",12
"RP23-286M3.5",12
"RP23-288B16.4",12
"RP23-322I5.3",12
"RP23-326O2.2",12
"RP23-345O17.6",12
"RP23-386C10.5",12
"RP23-402K14.12",12
"RP23-403P24.1",12
"RP23-437C24.1",12
"RP23-459I1.5",12
"RP23-477N9.6",12
"RP23-480H24.3",12
"RP24-147H20.2",12
"RP24-155C13.3",12
"RP24-155C13.8",12
"RP24-180F7.2",12
"RP24-226D9.3",12
"RP24-291G12.3",12
"RP24-360B3.1",12
"RP24-363O21.3",12
"RP24-87P2.3",12
"RPL14",12
"RPL30-PS6",12
"RPRML",12
"RPS13-PS1",12
"RPS19BP1",12
"RRAGB",12
"SCARNA17",12
"SCN4A",12
"SDF4",12
"SENP8",12
"SERPINB1-PS1",12
"SERPINB6A",12
"SF3B2",12
"SIM1",12
"SLC16A3",12
"SLC17A7",12
"SLC20A1",12
"SLC22A16",12
"SLC28A2",12
"SLC35F3",12
"SLC38A7",12
"SLC39A1",12
"SLFNL1",12
"SMC6",12
"SMPDL3B",12
"SNORA17",12
"SNORD47",12
"SNORD68",12
"SNORD80",12
"SNRPN",12
"SRSF7",12
"SSU72",12
"STRN3",12
"STXBP1",12
"SUMO2",12
"SVOP",12
"SYNGR1",12
"TAAR3",12
"TAF3",12
"TBL2",12
"TBX1",12
"TEK",12
"TGDS",12
"TJAP1",12
"TMEM180",12
"TMEM181A",12
"TMEM56",12
"TMEM57",12
"TMUB2",12
"TMX2",12
"TNFAIP2",12
"TNFRSF11A",12
"TNS3",12
"TOMM40",12
"TOMM6",12
"TOR2A",12
"TPGS2",12
"TRAFD1",12
"TRAJ20",12
"TRAJ26",12
"TRAJ40",12
"TRAJ50",12
"TRAJ59",12
"TRDV1",12
"1700007G11RIK",13
"1700010B13RIK",13
"1700013F07RIK",13
"1700018C11RIK",13
"1700034E13RIK",13
"1700040K01RIK",13
"2010107G12RIK",13
"2310005E17RIK",13
"4732440D04RIK",13
"4732465J04RIK",13
"4833439L19RIK",13
"4921507G05RIK",13
"4921528I07RIK",13
"4930455D15RIK",13
"4930562F07RIK",13
"9430069I07RIK",13
"A130006I12RIK",13
"A530072M11RIK",13
"A730011C13RIK",13
"AA386476",13
"ABCE1",13
"ABCF2",13
"ABCG3",13
"AC129321.1",13
"AI467606",13
"AKP3",13
"AKT3",13
"ALDOART2",13
"ANAPC15",13
"AP1G1",13
"APLF",13
"ARHGAP30",13
"ASAH1",13
"ASAP2",13
"ASNSD1",13
"ATP8A1",13
"ATPAF2",13
"B3GNT2",13
"B630005N14RIK",13
"BC049715",13
"BCL10",13
"BST2",13
"C330018A13RIK",13
"CAPG",13
"CASK",13
"CASP1",13
"CASP4",13
"CASZ1",13
"CCDC141",13
"CCDC64",13
"CDKN2D",13
"CH25-625A20.2",13
"CHAF1A",13
"CIRH1A",13
"CKAP2L",13
"CLASRP",13
"CLDN15",13
"CNOT10",13
"COPA",13
"CUEDC1",13
"CUL1",13
"D17H6S53E",13
"DCAF7",13
"DDX24",13
"DDX60",13
"DFFA",13
"DGAT2",13
"DHRS9",13
"DHX58",13
"DHX9",13
"DIS3",13
"DTX3L",13
"EIF2S3Y",13
"ENPP4",13
"EXOSC10",13
"FAHD2A",13
"FAM167B",13
"FAM172A",13
"FAM46D",13
"FLYWCH1",13
"FNIP1",13
"FOXC2",13
"GALE",13
"GJB1",13
"GLO1",13
"GM10233",13
"GM10237",13
"GM10472",13
"GM10719",13
"GM10801",13
"GM11042",13
"GM11131",13
"GM11292",13
"GM11399",13
"GM11532",13
"GM11849",13
"GM12396",13
"GM12405",13
"GM12433",13
"GM12534",13
"GM12740",13
"GM13013",13
"GM13212",13
"GM13256",13
"GM13281",13
"GM13294",13
"GM13341",13
"GM13535",13
"GM13561",13
"GM13616",13
"GM13626",13
"GM13746",13
"GM13803",13
"GM13814",13
"GM13842",13
"GM14222",13
"GM14469",13
"GM14660",13
"GM15241",13
"GM15323",13
"GM15395",13
"GM15471",13
"GM15540",13
"GM15551",13
"GM15783",13
"GM16198",13
"GM16206",13
"GM16291",13
"GM16294",13
"GM16754",13
"GM16793",13
"GM16794",13
"GM16933",13
"GM17535",13
"GM19412",13
"GM19705",13
"GM20268",13
"GM20421",13
"GM20492",13
"GM20535",13
"GM20696",13
"GM21814",13
"GM22171",13
"GM22256",13
"GM2237",13
"GM22418",13
"GM22767",13
"GM22798",13
"GM22811",13
"GM22831",13
"GM23244",13
"GM23553",13
"GM23566",13
"GM23567",13
"GM24022",13
"GM24154",13
"GM24222",13
"GM24574",13
"GM24871",13
"GM25009",13
"GM25016",13
"GM25128",13
"GM25625",13
"GM25747",13
"GM26014",13
"GM26280",13
"GM26409",13
"GM26513",13
"GM26520",13
"GM26558",13
"GM26579",13
"GM26580",13
"GM26770",13
"GM26911",13
"GM27740",13
"GM27785",13
"GM2788",13
"GM28047",13
"GM28419",13
"GM28513",13
"GM28551",13
"GM28800",13
"GM28857",13
"GM29610",13
"GM31728",13
"GM37027",13
"GM37042",13
"GM37707",13
"GM37975",13
"GM38160",13
"GM38276",13
"GM6189",13
"GM7029",13
"GM7069",13
"GM7115",13
"GM7790",13
"GM7854",13
"GM8000",13
"GM9821",13
"GM9961",13
"GMPPB",13
"GNA11",13
"GNB1",13
"GNB2L1",13
"GNL3L",13
"GNPNAT1",13
"GPATCH1",13
"H19",13
"HDDC2",13
"HECW2",13
"HEY2",13
"HMGB1L",13
"HNRNPA3",13
"HNRNPH1",13
"HRC",13
"HSP90AB1",13
"IDNK",13
"IFI203",13
"IFIT2",13
"IL1RAP",13
"IL20RB",13
"ILK",13
"IMMT",13
"INO80DOS",13
"ITGB7",13
"KCNQ5",13
"KLHL8",13
"L1TD1",13
"LAIR1",13
"LARS2",13
"LDHB",13
"LGALS9",13
"LMBR1L",13
"LRGUK",13
"LSM10",13
"LZTS1",13
"MAFK",13
"MAGEE1",13
"MAGI3",13
"MAOA",13
"MAP3K14",13
"MAPK1IP1L",13
"MARCH9",13
"METTL21C",13
"MGAT1",13
"MIR183",13
"MIR1981",13
"MIR3060",13
"MIR6393",13
"MIR6414",13
"MIR7057",13
"MMU-MIR-101C",13
"MMU-MIR-6906",13
"MON2",13
"MORN1",13
"MOS",13
"MR1",13
"MRAS",13
"MRPS30",13
"MTUS1",13
"MTUS2",13
"N-R5S210",13
"NUDCD2",13
"OLFR1225",13
"PAPOLA",13
"PDCD11",13
"PDCL",13
"PDE6B",13
"PERP",13
"PGD",13
"PHC1",13
"PHF11B",13
"PLEKHG5",13
"PNKP",13
"PNP",13
"POLE4",13
"POMP",13
"POU4F1",13
"PPIL3",13
"PPP1R13B",13
"PPP1R21",13
"PPP2R1A",13
"PPWD1",13
"PRDM11",13
"PRKRA",13
"PRMT10",13
"PRMT5",13
"PRPF40A",13
"PRRG4",13
"PSMA3",13
"PSMA7",13
"PSMB1",13
"PSMB6",13
"PSTK",13
"PTK2",13
"PTPN13",13
"PTS",13
"RAB12",13
"RAB13",13
"RAB28",13
"RAB33B",13
"RAB3GAP1",13
"RAB6A",13
"RABAC1",13
"RAD54B",13
"RAD54L2",13
"RAPGEF6",13
"RASD1",13
"RBM28",13
"RBM38",13
"RELL1",13
"RELL2",13
"REXO4",13
"RHOC",13
"RNASEH2A",13
"RNF145",13
"RNU1A1",13
"RP23-114E15.14",13
"RP23-200E11.1",13
"RP23-387P23.5",13
"RP23-38L11.2",13
"RP23-58C20.3",13
"RP23-58C20.4",13
"RP23-67P7.1",13
"RP24-142B15.6",13
"RP24-445D5.2",13
"RP24-487F9.4",13
"RP24-499N1.2",13
"RPN2",13
"RPS13",13
"RPS9",13
"S100A1",13
"S100A13",13
"SCLY",13
"SCYL3",13
"SDE2",13
"SEC24B",13
"SEPT9",13
"SHCBP1",13
"SIDT2",13
"SLC14A1",13
"SLC46A3",13
"SMS",13
"SMU1",13
"SMYD1",13
"SND1",13
"SNHG20",13
"SNORA28",13
"SNORA33",13
"SNORD93",13
"SNX20",13
"SOAT2",13
"SOCS6",13
"SORCS2",13
"SP1",13
"SPAG16",13
"SPATA4",13
"SPOPL",13
"SSTR3",13
"SYT1",13
"SYVN1",13
"TIGAR",13
"TMCO4",13
"TMEM135",13
"TMUB1",13
"TOR1B",13
"TPK1",13
"TRAPPC11",13
"TRIM56",13
"TRIM68",13
"TRMT5",13
"TSPAN32",13
"TSTD2",13
"TTC12",13
"TTC30A2",13
"TTC37",13
"TTF1",13
"TTL",13
"TTYH2",13
"TUBA1C",13
"TUBA3B",13
"TULP1",13
"TUNAR",13
"TUSC1",13
"TUSC2",13
"TVP23A",13
"TXNDC12",13
"TXNDC16",13
"TXNRD2",13
"TYW1",13
"UBA7",13
"UBE2J2",13
"UBE2L6",13
"UBE2Q1",13
"UBQLN1",13
"UBR2",13
"UBXN6",13
"UFC1",13
"UFL1",13
"UNC13B",13
"UNC79",13
"UQCC2",13
"UQCR10",13
"USF1",13
"USMG5",13
"USP1",13
"USP15",13
"USP25",13
"UTY",13
"VAMP1",13
"VAMP5",13
"VAMP8",13
"VAPB",13
"VCL",13
"VIM",13
"VMN1R1",13
"VPS13A",13
"VPS13C",13
"VPS35",13
"VPS39",13
"VPS4A",13
"VPS8",13
"WAS",13
"WBP11",13
"WBSCR27",13
"WDFY1",13
"WDPCP",13
"WDR36",13
"WDR41",13
"WDR60",13
"WDR75",13
"WDR81",13
"WDR82",13
"WDR89",13
"WISP1",13
"WNT10A",13
"XBP1",13
"XIST",13
"XNDC1",13
"XNTRPC",13
"XPO4",13
"XRCC1",13
"XRCC6",13
"YKT6",13
"YRDC",13
