"","gene","kmeans_cluster"
"796","A230056P14RIK",13
"797","A230059L01RIK",9
"798","A230060F14RIK",10
"799","A230072C01RIK",6
"800","A230072E10RIK",10
"801","A230083N12RIK",5
"802","A230103J11RIK",1
"803","A230107N01RIK",13
"804","A330008L17RIK",8
"805","A330009N23RIK",2
"806","A330017A19RIK",1
"807","A330023F24RIK",15
"808","A330032B11RIK",2
"809","A330033J07RIK",8
"810","A330035P11RIK",2
"811","A330040F15RIK",10
"812","A330074H02RIK",9
"813","A430005L14RIK",10
"814","A430018G15RIK",9
"815","A430027H14RIK",8
"816","A430033K04RIK",11
"817","A430035B10RIK",11
"818","A430072P03RIK",13
"819","A430078G23RIK",12
"820","A430093F15RIK",4
"821","A430108G06RIK",1
"822","A430110L20RIK",2
"823","A530013C23RIK",11
"824","A530020G20RIK",9
"825","A530032D15RIK",8
"826","A530040E14RIK",8
"827","A530058N18RIK",5
"828","A530072M11RIK",5
"829","A530084C06RIK",8
"830","A530095I07RIK",8
"831","A630001G21RIK",2
"832","A630014C17RIK",4
"833","A630023P12RIK",12
"834","A630033H20RIK",9
"835","A630072M18RIK",8
"836","A630095N17RIK",1
"837","A730011C13RIK",9
"838","A730015C16RIK",13
"839","A730017L22RIK",1
"840","A730020E08RIK",8
"841","A730032A03RIK",12
"842","A730035I17RIK",13
"843","A730056A06RIK",8
"844","A730060N03RIK",9
"845","A730061H03RIK",5
"846","A730062M13RIK",8
"847","A730071L15RIK",10
"848","A730081D07RIK",10
"849","A730089K16RIK",8
"850","A730090N16RIK",9
"851","A730098A19RIK",8
"852","A830005F24RIK",9
"853","A830008E24RIK",2
"854","A830010M20RIK",15
"855","A830012C17RIK",9
"856","A830018L16RIK",8
"857","A830031A19RIK",8
"858","A830035A12RIK",2
"859","A830052D11RIK",9
"860","A830073O21RIK",14
"861","A830080D01RIK",2
"862","A830082K12RIK",8
"863","A830092H15RIK",8
"864","A930002H24RIK",13
"865","A930002I21RIK",4
"866","A930004D18RIK",10
"867","A930004J17RIK",1
"868","A930005H10RIK",2
"869","A930006K02RIK",5
"870","A930006L05RIK",13
"871","A930007I19RIK",15
"872","A930011G23RIK",13
"873","A930012O16RIK",15
"874","A930015D03RIK",15
"875","A930017K11RIK",6
"876","A930018P22RIK",16
"877","A930024E05RIK",14
"878","A930032L01RIK",7
"879","A930033H14RIK",8
"880","A930035D04RIK",1
"881","A930036K24RIK",9
"882","A930038B10RIK",14
"883","AA386476",1
"884","AA387200",9
"885","AA413626",9
"886","AA414768",1
"887","AA415398",10
"888","AA465934",10
"889","AA467197",1
"890","AA474331",1
"891","AA474408",1
"892","AA914427",11
"893","AA986860",8
"894","AAAS",1
"895","AACS",2
"896","AADAT",9
"897","AAED1",2
"898","AAGAB",1
"899","AAK1",13
"900","AAMDC",14
"901","AANAT",1
"902","AAR2",8
"903","AARS",16
"904","AARS2",1
"905","AARSD1",9
"906","AASDH",1
"907","AASDHPPT",4
"908","AATF",6
"909","AATK",10
"910","AB124611",8
"911","ABAT",1
"912","ABCA1",8
"913","ABCA14",8
"914","ABCA17",10
"915","ABCA3",2
"916","ABCA4",14
"917","ABCA5",8
"918","ABCA7",14
"919","ABCB10",2
"920","ABCB1A",13
"921","ABCB1B",10
"922","ABCB4",8
"923","ABCB6",14
"924","ABCB7",13
"925","ABCB8",12
"926","ABCB9",13
"927","ABCC1",9
"928","ABCC10",2
"929","ABCC12",4
"930","ABCC2",8
"931","ABCC3",1
"932","ABCC4",3
"933","ABCC5",5
"934","ABCC9",8
"935","ABCD1",2
"936","ABCD3",1
"937","ABCD4",13
"938","ABCE1",2
"939","ABCF1",13
"940","ABCF2",1
"941","ABCF3",9
"942","ABCG2",10
"943","ABCG3",6
"944","ABCG4",2
"945","ABHD1",1
"946","ABHD10",13
"947","ABHD11",14
"948","ABHD11OS",8
"949","ABHD12",13
"950","ABHD12B",8
"951","ABHD13",12
"952","ABHD14A",8
"953","ABHD14B",9
"954","ABHD15",1
"955","ABHD17A",8
"956","ABHD17B",9
"957","ABHD17C",15
"958","ABHD3",1
"959","ABHD4",15
"960","ABHD5",8
"961","ABHD6",15
"962","ABI1",2
"963","ABI2",14
"964","ABI3",12
"965","ABL1",9
"966","ABL2",15
"967","ABLIM1",15
"968","ABLIM2",2
"969","ABLIM3",13
"970","ABR",4
"971","ABRACL",10
"972","ABT1",1
"973","ABTB1",14
"974","ABTB2",15
"975","AC034285.2",13
"976","AC034285.3",2
"977","AC034285.4",2
"978","AC044807.1",14
"979","AC079956.1",1
"980","AC099934.1",12
"981","AC099934.2",6
"982","AC102815.1",4
"983","AC103674.1",9
"984","AC104930.1",14
"985","AC105950.1",9
"986","AC108848.6",9
"987","AC111034.1",8
"988","AC113029.6",13
"989","AC113302.1",9
"990","AC116520.1",9
"991","AC117623.1",3
"992","AC120402.1",2
"993","AC121784.1",8
"994","AC121821.1",10
"995","AC122428.1",1
"996","AC122804.1",4
"997","AC123608.1",9
"998","AC124457.1",9
"999","AC124587.1",2
"1000","AC125099.1",2
"1001","AC125099.3",9
"1002","AC126052.1",8
"1003","AC127262.1",4
"1004","AC132393.1",10
"1005","AC137678.1",9
"1006","AC137871.1",13
"1007","AC147266.1",2
"1008","AC151967.1",10
"1009","AC153941.1",10
"1010","AC157822.1",14
"1011","AC157822.2",10
"1012","AC158786.1",7
"1013","AC161199.1",8
"1014","AC161570.1",9
"1015","AC161585.1",9
"1016","ACAA1A",10
"1017","ACAA2",16
"1018","ACACA",10
"1019","ACACB",10
"1020","ACAD10",1
"1021","ACAD11",2
"1022","ACAD8",2
"1023","ACAD9",15
"1024","ACADL",15
