"","Naive_Kaech_Kaech","Naive_Kaech_Chung","Naive_Mackay_Chung","Naive_MilnerAug_Chung","Naive_Renkema_Chung","Naive_Scott_Scott","MP_Kaech_Chung","MP_Kaech_Kaech","MP_Kaech_Scott","MP_MilnerAug_Kaech","MP_MilnerAug_Scott","MP_MilnerAug_Chung","TE_Kaech_Chung","TE_Kaech_Kaech","TE_Kaech_Scott","TE_MilnerAug_Kaech","TE_MilnerAug_Scott","TE_MilnerAug_Chung","TCM_Mackay_Chung","TCM_MilnerAug_Chung","TCM_Renkema_Chung","TEM_Mackay_Chung","TEM_MilnerAug_Chung","TEM_Renkema_Chung","TRM.IEL_Milner17_Milner17","TRM.IEL_MilnerApr_Chung","TRM.IEL_MilnerApr_Milner17","TRM.IEL_Milner17_Chung","TRM.liver_Mackay_Chung","TexProg1_Beltra_Beltra","TexProg2_Beltra_Beltra","TexProg_Beltra_Chung","TexProg_Hudson_Chung","TexProg_Hudson_Beltra","TexInt_Beltra_Beltra","TexInt_Beltra_Chung","TexInt_Hudson_Chung","TexInt_Hudson_Beltra","TexTerm_Beltra_Beltra","TexTerm_Beltra_Chung","TexTerm_Hudson_Chung","TexTerm_Hudson_Beltra"
"E2f7",0,0,0.03,0,0,0.15,1,1,1,2.2,2.2,2.2,2.15,2.15,2.15,3,3,3,0.45,0.12,0,0.91,0,0,1.79,0.19,0.19,1.79,1.03,0.56,8.68,0.56,0.35,0.35,3.88,3.88,15.17,15.17,2.22,2.22,2.32,2.32
"Sp7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pax5",25.79,25.79,0.03,0,0,0,2.01,2.01,2.01,0,0,0,0.8,0.8,0.8,0,0,0,0.07,0,0,0.01,0,0,0,0,0,0,1.28,0.99,0,0.99,0,0,0,0,0.12,0.12,0,0,0.01,0.01
"Zfp523",17.11,17.11,3.76,3.65,0,2.92,7.15,7.15,7.15,4.77,4.77,4.77,4.62,4.62,4.62,2.5,2.5,2.5,11.36,5.15,0,13.18,2.5,4.7,3.36,4.94,4.94,3.36,16.27,13.87,19.25,13.87,32.78,32.78,10.88,10.88,15.16,15.16,19.9,19.9,25.97,25.97
"Sox11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Patz1",42.1,42.1,26.6,17.91,25.77,42.12,33.27,33.27,33.27,10.76,10.76,10.76,29.62,29.62,29.62,14.4,14.4,14.4,26.27,11.26,14.39,25.69,8.25,8.06,9.46,12.02,12.02,9.46,31.08,32.13,30.71,32.13,49.01,49.01,19.51,19.51,33.63,33.63,37.25,37.25,40.27,40.27
"Egr2",5.26,5.26,4.04,4.23,7.46,8,1.09,1.09,1.09,1.59,1.59,1.59,0.91,0.91,0.91,0.22,0.22,0.22,0.89,0,8.23,0.84,0.1,8.1,22.58,21.08,21.08,22.58,6.94,10.11,25.05,10.11,52.83,52.83,0,0,14.87,14.87,7.48,7.48,17.87,17.87
"Hmx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0
"Klf7",13,13,8.53,14.81,0.92,17.21,15.71,15.71,15.71,11.34,11.34,11.34,19.98,19.98,19.98,6.24,6.24,6.24,11.37,16.59,1.02,12.93,12.77,37.28,7.82,15.11,15.11,7.82,14.89,7.47,11.19,7.47,11.33,11.33,5.01,5.01,4.8,4.8,1.78,1.78,4.3,4.3
"Stat5a",21.49,21.49,20.99,17.76,11.66,29.33,32.27,32.27,32.27,16.75,16.75,16.75,36.15,36.15,36.15,23.6,23.6,23.6,30.33,10.8,10.26,37.47,16.73,8.16,26.59,21.12,21.12,26.59,28.82,25.3,34.52,25.3,40.97,40.97,29.09,29.09,30.33,30.33,14.42,14.42,15.67,15.67
