"","cluster"
"Phox2b",3
"Zfp287",2
"Sox18",5
"Prdm4",2
"Zbtb43",6
"Nfyb",5
"Zscan26",6
"Elk3",5
"Mef2c",2
"Mycn",7
"Foxi1",3
"Nfib",7
"Sp110",6
"Nr2c2",5
"Mybl1",6
"Zbtb18",4
"Sox21",7
"Six5",2
"Zfp566",6
"Zfp113",6
"Gli3",7
"Zbtb3",2
"Terf2",1
"Glis2",5
"Zfp276",2
"Pou6f1",2
"Atf4",3
"Batf",2
"Kdm2a",1
"Msx1",3
"Prrx1",7
"Zbtb32",2
"Isl2",3
"Nr4a1",3
"Srebf2",1
"Zbtb22",1
"Crebzf",1
"Hes2",5
"Dlx6",3
"Foxh1",7
"Dmrt3",5
"Zfp653",2
"Ddit3",3
"Twist1",7
"Trps1",2
"Zfp248",4
"Hsfy2",7
"Dmrta2",5
"Elf3",3
"Shox2",3
"Nkx1-1",7
"Rbpjl",7
"Zfp213",6
"Alx1",7
"Nfya",1
"Lef1",4
"Nfia",6
"Zfp558",7
"Nr2c1",4
"Tigd2",6
"Pbx4",3
"Mybl2",2
"Lin54",2
"Irf9",2
"Zfp110",4
"Stat4",6
"Heyl",2
"Zscan4c",7
"Tet3",1
"Glis1",2
"Mlxipl",6
"Pou6f2",7
"Zfp770",1
"Atf7",5
"Kdm2b",3
"Msx2",5
"Prrx2",3
"Srf",1
"Nr1d2",1
"Dmrt2",2
"Mafk",6
"Zfp652",5
"Nr3c1",2
"Creb5",7
"Sox1",5
"Zfp317",6
"Foxo1",5
"Usf1",6
"Zkscan1",6
"Neurod2",5
"Spi1",4
"Nfkb2",2
"Mesp2",7
"Hnf4g",7
"Cebpa",4
"Rarb",5
"Cdc5l",6
"Elf2",2
"Bach1",1
"Zfp212",6
"Prdm6",5
"Bcl6b",5
"Elk1",6
"Zfp454",5
"Mef2a",1
"Pou4f1",7
"Sebox",5
"Foxi3",5
"Ets1",6
"Jun",3
"Zfp14",6
"Gsx1",6
"Sox30",5
"Pgr",7
"Mecp2",1
"Rxrg",5
"Irf8",2
"Gli1",5
"Zbtb1",1
"Zscan4b",5
"Zfp771",6
"Atf6",6
"Msx3",7
"Ppard",1
"Emx2",7
"Meox1",3
"Fli1",6
"Sox6",5
"Zfp691",1
"Nhlh2",5
"Barhl1",5
"Zfp174",5
"Zkscan6",6
"Ovol2",2
"Sohlh2",3
"Tbx15",7
"Elf5",5
"Esr2",5
"Hoxd10",7
"Vsx1",7
"Myb",5
"Nr6a1",6
"Tfdp2",2
"Lin28a",7
"Zfp260",6
"Cphx3",6
"Npas2",5
"Vdr",7
"Zfp282",2
"Zfp398",6
"Pax9",2
"Foxk2",1
"Nr5a2",7
"Prdm1",2
"Tgif2",5
"Pknox2",7
"Olig3",5
"Otx1",2
"Zfp13",3
"Dmbx1",5
"Hmg20b",6
"Evx1",7
"Rfx8",5
"Erg",5
"Pbx2",1
"Tcf7l2",7
"Maz",1
"Ybx1",4
"Nr2e1",7
"Uncx",7
"Stat2",2
"Prox1",7
"Zfp189",6
"Zbtb6",1
"Grhl1",2
"Atf1",3
"Lcorl",6
"Zbtb37",1
"Hoxd8",5
"Prrxl1",7
"Hes5",4
"Dlx1",3
"Ikzf1",6
"Sox7",5
"Nfe2",2
"Neurod4",7
"Jrkl",1
"Hnf4a",5
"Cebpg",5
"En2",3
"Elf4",1
"Foxe1",5
"Hoxd11",5
"Aire",7
"Myc",4
"Cphx2",5
"Bhlha15",5
"Pax8",5
"Vax2",2
"Zfp354a",7
"Zfp12",4
"Mga",1
"Erf",1
"Pbx3",2
"Tlx1",7
"Six1",5
"Cdx4",5
"Rxra",1
"Stat3",2
"Myf5",7
"Nanog",5
"Foxd2",1
"Zscan4d",7
"Gm28047",3
"Zfp777",1
"Gfi1b",4
"Trp53",4
"Zbtb26",1
"Hes6",6
"Tbp",5
"Sox4",4
"Clock",5
"Dbp",5
"Foxo4",5
"Mynn",6
"Nr1h3",1
"Wt1",3
"Ctcf",1
"Cebpd",7
"Rarg",4
"Mxd1",3
"Zfp932",6
"Cphx1",7
"Sp9",5
"Rreb1",1
"Zfp354b",7
"Irx3",5
"Elk4",1
"Mef2d",1
"Foxn3",3
"Tcfl5",7
"Klf9",2
"Tfec",7
"Max",1
"Tlx2",3
"Ybx3",2
"Six2",5
"Rxrb",1
"Myf6",5
"Rest",6
"Tfe3",2
"Atf3",7
"Ppara",5
"Tcf12",4
"Meox2",3
"Xbp1",3
"Hes7",3
"Ikzf3",1
"Creb1",3
"Sox5",7
"Zfp692",3
"Nhlh1",5
"Hif1a",6
"Nr1h2",5
"Barhl2",3
"Hinfp",2
"Zkscan5",6
"Neurod6",5
"Ehf",7
"Ovol1",5
"Nrf1",2
"Cebpe",4
"Hoxa9",5
"Zfp128",2
"Esr1",4
"Zik1",7
"E2f8",2
"Vsx2",7
"Hand2",4
"Tfdp1",2
"Lin28b",7
"Zfp263",6
"Sp8",5
"Zfp281",4
"Foxk1",1
"Nr5a1",5
"Alx4",3
"Irx2",2
"Tgif1",3
"Zbtb45",1
"Zscan20",6
"Zfp300",6
"Hbp1",5
"Pknox1",4
"Foxn2",1
"Klf8",2
"Otx2",7
"Hmg20a",2
"Evx2",5
"Tfeb",2
"Cic",1
"Pbx1",4
"Tcf7l1",5
"Atoh1",5
"Six3",5
"Stat1",2
"Prox2",5
"Zfp69",6
"Zscan4f",7
"Mypop",5
"Grhl2",5
"Atf2",6
"Ahr",7
