TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Foxd2 Trp73 70 16 ko ko ko
Zfp324 Bhlha15 Plag1 68 16 ko oe oe
Zfp324 Gmeb1 Mafb 66 16 ko oe ko
Zfp324 Foxd2 Lin54 65 16 ko ko ko
Zfp324 Foxd2 Nhlh1 65 16 ko ko ko
Zfp324 Gmeb1 Pbx1 64 16 ko oe oe
Zfp324 Foxd2 Zfp768 64 16 ko ko ko
Zfp324 Foxd2 Tef 63 16 ko ko ko
Zfp324 Foxd2 Ehf 62 16 ko ko ko
Zfp324 Zfp282 Ehf 62 16 ko ko ko
Zfp324 Foxd2 Mafb 62 16 ko ko ko
Zfp324 Zfp282 Mafb 62 16 ko ko ko
Zfp324 Sp6 Tef 62 16 ko oe ko
Zfp324 Sp6 Mafb 61 16 ko oe ko
Zfp324 Foxd2 Pbx1 61 16 ko ko oe
Zfp324 Zfp282 Pbx1 60 16 ko ko oe
Zfp324 Cxxc1 Tef 60 16 ko ko ko
Zfp324 Cxxc1 Zfp90 60 16 ko ko ko
Zfp324 Zfp113 Mafb 59 16 ko ko ko
Zfp324 Sp8 Lin54 58 16 ko ko ko
Zfp324 Cxxc1 Pbx1 58 16 ko ko oe
Zfp324 Plag1 Tfap4 57 16 ko oe oe
Zfp324 Pou6f1 Zfp768 57 16 ko ko ko
Zfp324 Sp8 Tef 56 16 ko ko ko
Zfp324 Plag1 Vax2 55 16 ko oe ko
Zfp324 Bhlha15 Zfp653 55 16 ko oe ko
Zfp324 Trp73 Zfp90 55 16 ko ko ko
Zfp324 Zfp276 Pbx1 54 16 ko ko oe
Zfp324 Plag1 Mafb 53 16 ko oe ko
Zfp324 Trp73 Pbx1 53 16 ko ko oe
Zfp324 Plag1 Ehf 52 16 ko oe ko
Zfp324 Plag1 Tef 52 16 ko oe ko
Zfp324 Plag1 Zfp768 52 16 ko oe ko
Zfp324 Bhlha15 Epas1 50 16 ko oe oe
Zfp324 Plag1 Pbx1 49 16 ko oe oe
Zfp324 Plag1 Epas1 48 16 ko oe oe
Hsf2 Foxd2 Nhlh1 37 16 oe ko ko
Zfp324 Hsf2 Cxxc1 80 15 ko oe ko
Zfp324 Zscan20 Bhlha15 77 15 ko ko oe
Zfp324 Hsf2 Pou6f1 76 15 ko oe ko
Zfp324 Hsf2 Plag1 75 15 ko oe oe
Zfp324 Zscan20 Cxxc1 72 15 ko ko ko
Zfp324 Zscan20 Arid5b 71 15 ko ko ko
Zfp324 Zscan20 Tal1 70 15 ko ko oe
Zfp324 Hsf2 Tfec 70 15 ko oe oe
Zfp324 Zscan20 Nfe2 69 15 ko ko ko
Zfp324 Zscan20 Hinfp 68 15 ko ko ko
Zfp324 Gmeb1 Tal1 67 15 ko oe oe
