TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Foxd2 Nr5a1 93 20 ko ko oe
Zfp324 Foxd2 Pou5f1 93 20 ko ko ko
Zfp324 Bhlha15 Rarb 93 20 ko oe oe
Zfp324 Foxd2 Rarb 93 20 ko ko oe
Zfp324 Foxd2 Zbtb45 93 20 ko ko ko
Zfp324 Foxd2 Zfp296 93 20 ko ko oe
Zfp324 Sp6 Zfp300 93 20 ko oe ko
Zfp324 Foxd2 Zfp558 93 20 ko ko ko
Zfp324 Foxd2 Zfp653 93 20 ko ko ko
Zfp324 Bhlha15 Zscan29 93 20 ko oe ko
Zfp324 Foxd2 Cebpd 92 20 ko ko oe
Zfp324 Foxd2 Cphx3 92 20 ko ko oe
Zfp324 Bhlha15 Epas1 92 20 ko oe oe
Zfp324 Foxd2 Gli3 92 20 ko ko oe
Zfp324 Gmeb1 Hlx 92 20 ko oe oe
Zfp324 Bhlha15 Homez 92 20 ko oe ko
Zfp324 Foxd2 Homez 92 20 ko ko ko
Zfp324 Gmeb1 Isl2 92 20 ko oe oe
Zfp324 Foxd2 Klf9 92 20 ko ko ko
Zfp324 Bhlha15 Mypop 92 20 ko oe oe
Zfp324 Foxd2 Mypop 92 20 ko ko oe
Zfp324 Zfp282 Nr5a1 92 20 ko ko oe
Zfp324 Bhlha15 Pax9 92 20 ko oe ko
Zfp324 Gmeb1 Phf21a 92 20 ko oe oe
Zfp324 Foxd2 Pou1f1 92 20 ko ko oe
Zfp324 Gmeb1 Sohlh2 92 20 ko oe oe
Zfp324 Bhlha15 Tead2 92 20 ko oe ko
Zfp324 Bhlha15 Zbtb12 92 20 ko oe oe
Zfp324 Foxd2 Zfp174 92 20 ko ko ko
Zfp324 Bhlha15 Zfp248 92 20 ko oe ko
Zfp324 Foxd2 Zfp248 92 20 ko ko ko
Zfp324 Gmeb1 Zfp454 92 20 ko oe oe
Zfp324 Bhlha15 Zfp558 92 20 ko oe ko
Zfp324 Foxd2 Zfp647 92 20 ko ko oe
Zfp324 Bhlha15 Zfp653 92 20 ko oe ko
Zfp324 Gmeb1 Zkscan17 92 20 ko oe ko
Zfp324 Zfp282 Zscan29 92 20 ko ko ko
Zfp324 Bhlha15 Cebpd 91 20 ko oe oe
Zfp324 Bhlha15 Cphx3 91 20 ko oe oe
Zfp324 Bhlha15 Cxxc5 91 20 ko oe ko
Zfp324 Foxd2 Cxxc5 91 20 ko ko ko
Zfp324 Bhlha15 Foxi3 91 20 ko oe oe
Zfp324 Foxd2 Foxi3 91 20 ko ko oe
Zfp324 Foxd2 Gata1 91 20 ko ko ko
Zfp324 Gmeb1 Gli2 91 20 ko oe oe
Zfp324 Bhlha15 Gli3 91 20 ko oe oe
Zfp324 Foxd2 Glis2 91 20 ko ko oe
Zfp324 Foxd2 Grhl1 91 20 ko ko ko
Zfp324 Bhlha15 Hes7 91 20 ko oe ko
Zfp324 Foxd2 Hes7 91 20 ko ko ko
Zfp324 Foxd2 Hnf4a 91 20 ko ko oe
Zfp324 Bhlha15 Klf9 91 20 ko oe ko
Zfp324 Foxd2 Lcor 91 20 ko ko oe
Zfp324 Foxd2 Phf21a 91 20 ko ko oe
Zfp324 Foxd2 Setbp1 91 20 ko ko ko
Zfp324 Bhlha15 Six5 91 20 ko oe oe
Zfp324 Gmeb1 Sox8 91 20 ko oe oe
Zfp324 Cxxc1 Tfec 91 20 ko ko oe
Zfp324 Gmeb1 Thrb 91 20 ko oe ko
Zfp324 Bhlha15 Zfp174 91 20 ko oe ko
Zfp324 Foxd2 Zkscan17 91 20 ko ko ko
Zfp324 Bhlha15 Zzz3 91 20 ko oe ko
Zfp324 Foxd2 Zzz3 91 20 ko ko ko
Zfp324 Foxd2 Arid3b 90 20 ko ko ko
Zfp324 Gmeb1 Dlx1 90 20 ko oe oe
Zfp324 Gmeb1 Dpf3 90 20 ko oe oe
Zfp324 Plag1 Foxn2 90 20 ko oe oe
Zfp324 Bhlha15 Gata1 90 20 ko oe ko
Zfp324 Bhlha15 Glis2 90 20 ko oe oe
Zfp324 Plag1 Glis3 90 20 ko oe oe
Zfp324 Bhlha15 Grhl1 90 20 ko oe ko
Zfp324 Foxd2 Hlx 90 20 ko ko oe
Zfp324 Bhlha15 Hnf4a 90 20 ko oe oe
Zfp324 Gmeb1 Hoxa1 90 20 ko oe oe
Zfp324 Bhlha15 Hoxb4 90 20 ko oe oe
Zfp324 Bhlha15 Isl2 90 20 ko oe oe
Zfp324 Foxd2 Isl2 90 20 ko ko oe
Zfp324 Gmeb1 Lhx2 90 20 ko oe ko
Zfp324 Foxd2 Meis1 90 20 ko ko ko
Zfp324 Gmeb1 Ovol1 90 20 ko oe oe
Zfp324 Bhlha15 Phf21a 90 20 ko oe oe
Zfp324 Bhlha15 Setbp1 90 20 ko oe ko
Zfp324 Bhlha15 Sohlh2 90 20 ko oe oe
Zfp324 Foxd2 Sohlh2 90 20 ko ko oe
Zfp324 Foxd2 Sp140 90 20 ko ko oe
Zfp324 Foxd2 Tigd2 90 20 ko ko ko
Zfp324 Bhlha15 Vdr 90 20 ko oe ko
Zfp324 Bhlha15 Zfp454 90 20 ko oe oe
Zfp324 Foxd2 Zfp454 90 20 ko ko oe
Zfp324 Sp6 Zfp647 90 20 ko oe oe
Zfp324 Bhlha15 Zkscan17 90 20 ko oe ko
Zfp324 Plag1 Zscan29 90 20 ko oe ko
Zfp324 Gmeb1 Alx4 89 20 ko oe ko
Zfp324 Bhlha15 Arid3b 89 20 ko oe ko
Zfp324 Gmeb1 Batf3 89 20 ko oe oe
Zfp324 Foxd2 Dmrt2 89 20 ko ko ko
Zfp324 Plag1 Epas1 89 20 ko oe oe
Zfp324 Gmeb1 Foxf1 89 20 ko oe oe
Zfp324 Bhlha15 Gli2 89 20 ko oe oe
Zfp324 Foxd2 Gli2 89 20 ko ko oe
Zfp324 Sp6 Gli3 89 20 ko oe oe
Zfp324 Zfp282 Grhl1 89 20 ko ko ko
Zfp324 Gmeb1 Grhl2 89 20 ko oe oe
Zfp324 Gmeb1 Hesx1 89 20 ko oe ko
Zfp324 Foxd2 Hlf 89 20 ko ko ko
Zfp324 Bhlha15 Hlx 89 20 ko oe oe
Zfp324 Gmeb1 Hnf1a 89 20 ko oe ko
Zfp324 Gmeb1 Hnf4g 89 20 ko oe oe
Zfp324 Zfp282 Isl2 89 20 ko ko oe
Zfp324 Bhlha15 Jrkl 89 20 ko oe oe
Zfp324 Gmeb1 Lin28b 89 20 ko oe ko
Zfp324 Sp8 Lin54 89 20 ko ko ko
Zfp324 Bhlha15 Meis1 89 20 ko oe ko
Zfp324 Plag1 Mypop 89 20 ko oe oe
Zfp324 Gmeb1 Mzf1 89 20 ko oe ko
Zfp324 Gmeb1 Npas2 89 20 ko oe oe
Zfp324 Plag1 Nr5a1 89 20 ko oe oe
Zfp324 Gmeb1 Nr6a1 89 20 ko oe oe
Zfp324 Gmeb1 Otx2 89 20 ko oe oe
Zfp324 Foxd2 Ovol1 89 20 ko ko oe
Zfp324 Gmeb1 Pax6 89 20 ko oe ko
Zfp324 Gmeb1 Pax8 89 20 ko oe oe
Zfp324 Plag1 Rarb 89 20 ko oe oe
Zfp324 Bhlha15 Sox4 89 20 ko oe ko
Zfp324 Foxd2 Sox4 89 20 ko ko ko
Zfp324 Gmeb1 Sox6 89 20 ko oe ko
Zfp324 Bhlha15 Sox8 89 20 ko oe oe
Zfp324 Foxd2 Sox8 89 20 ko ko oe
Zfp324 Gmeb1 Tcf7l2 89 20 ko oe ko
Zfp324 Gmeb1 Tet1 89 20 ko oe oe
Zfp324 Bhlha15 Thrb 89 20 ko oe ko
Zfp324 Foxd2 Thrb 89 20 ko ko ko
Zfp324 Bhlha15 Tigd2 89 20 ko oe ko
Zfp324 Plag1 Zbtb12 89 20 ko oe oe
Zfp324 Sp6 Zfp174 89 20 ko oe ko
Zfp324 Plag1 Zfp248 89 20 ko oe ko
Zfp324 Zfp282 Zfp454 89 20 ko ko oe
Zfp324 Zfp282 Arid3b 88 20 ko ko ko
Zfp324 Foxd2 Batf3 88 20 ko ko oe
Zfp324 Gmeb1 Cebpa 88 20 ko oe oe
Zfp324 Plag1 Cebpd 88 20 ko oe oe
Zfp324 Plag1 Cphx3 88 20 ko oe oe
Zfp324 Bhlha15 Dlx1 88 20 ko oe oe
Zfp324 Foxd2 Dlx1 88 20 ko ko oe
Zfp324 Bhlha15 Dmrt2 88 20 ko oe ko
Zfp324 Bhlha15 Dpf3 88 20 ko oe oe
Zfp324 Foxd2 Dpf3 88 20 ko ko oe
Zfp324 Foxd2 Foxf1 88 20 ko ko oe
Zfp324 Plag1 Foxi3 88 20 ko oe oe
Zfp324 Gmeb1 Gata2 88 20 ko oe oe
Zfp324 Bhlha15 Glis1 88 20 ko oe ko
Zfp324 Foxd2 Glis1 88 20 ko ko ko
Zfp324 Gmeb1 Hand2 88 20 ko oe ko
Zfp324 Gmeb1 Hes5 88 20 ko oe oe
Zfp324 Gmeb1 Hey1 88 20 ko oe ko
Zfp324 Gmeb1 Hhex 88 20 ko oe oe
Zfp324 Bhlha15 Hlf 88 20 ko oe ko
Zfp324 Plag1 Hmbox1 88 20 ko oe oe
Zfp324 Bhlha15 Hoxa1 88 20 ko oe oe
Zfp324 Foxd2 Hoxa1 88 20 ko ko oe
Zfp324 Gmeb1 Kdm2a 88 20 ko oe ko
Zfp324 Bhlha15 Lhx2 88 20 ko oe ko
Zfp324 Foxd2 Lhx2 88 20 ko ko ko
Zfp324 Foxd2 Lin28b 88 20 ko ko ko
Zfp324 Gmeb1 Mecom 88 20 ko oe oe
Zfp324 Zfp282 Meis1 88 20 ko ko ko
Zfp324 Gmeb1 Mlxipl 88 20 ko oe ko
Zfp324 Gmeb1 Msc 88 20 ko oe ko
Zfp324 Gmeb1 Msx1 88 20 ko oe oe
Zfp324 Gmeb1 Myrf 88 20 ko oe ko
Zfp324 Foxd2 Mzf1 88 20 ko ko ko
Zfp324 Gmeb1 Naif1 88 20 ko oe ko
Zfp324 Bhlha15 Nfix 88 20 ko oe ko
Zfp324 Foxd2 Nfix 88 20 ko ko ko
Zfp324 Gmeb1 Onecut1 88 20 ko oe oe
Zfp324 Bhlha15 Ovol1 88 20 ko oe oe
Zfp324 Foxd2 Pax8 88 20 ko ko oe
Zfp324 Gmeb1 Pitx2 88 20 ko oe oe
Zfp324 Gmeb1 Prdm11 88 20 ko oe ko
Zfp324 Gmeb1 Prox2 88 20 ko oe ko
Zfp324 Gmeb1 Prrx2 88 20 ko oe ko
Zfp324 Plag1 Six5 88 20 ko oe oe
Zfp324 Gmeb1 Sox21 88 20 ko oe oe
Zfp324 Zfp282 Sox4 88 20 ko ko ko
Zfp324 Zfp282 Sox8 88 20 ko ko oe
Zfp324 Gmeb1 Sox9 88 20 ko oe ko
Zfp324 Zfp282 Sp140 88 20 ko ko oe
Zfp324 Gmeb1 Tbr1 88 20 ko oe oe
Zfp324 Foxd2 Tet1 88 20 ko ko oe
