,Naive_Kaech_Kaech,Naive_Kaech_Chung,Naive_Mackay_Chung,Naive_MilnerAug_Chung,Naive_Renkema_Chung,Naive_Scott_Scott,MP_Kaech_Chung,MP_Kaech_Kaech,MP_Kaech_Scott,MP_MilnerAug_Kaech,MP_MilnerAug_Scott,MP_MilnerAug_Chung,TE_Kaech_Chung,TE_Kaech_Kaech,TE_Kaech_Scott,TE_MilnerAug_Kaech,TE_MilnerAug_Scott,TE_MilnerAug_Chung,TCM_Mackay_Chung,TCM_MilnerAug_Chung,TCM_Renkema_Chung,TEM_Mackay_Chung,TEM_MilnerAug_Chung,TEM_Renkema_Chung,TRM.IEL_Milner17_Milner17,TRM.IEL_MilnerApr_Chung,TRM.IEL_MilnerApr_Milner17,TRM.IEL_Milner17_Chung,TRM.liver_Mackay_Chung,TexProg1_Beltra_Beltra,TexProg2_Beltra_Beltra,TexProg_Beltra_Chung,TexProg_Hudson_Chung,TexProg_Hudson_Beltra,TexInt_Beltra_Beltra,TexInt_Beltra_Chung,TexInt_Hudson_Chung,TexInt_Hudson_Beltra,TexTerm_Beltra_Beltra,TexTerm_Beltra_Chung,TexTerm_Hudson_Chung,TexTerm_Hudson_Beltra
RP23-157G2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem189,70.96,70.96,33.07,22.16,16.8,15.07,85.92,85.92,85.92,13.72,13.72,13.72,92.03,92.03,92.03,13.75,13.75,13.75,56.57,11.46,9.25,69.22,14.28,19.43,17.94,8.43,8.43,17.94,72.54,57.41,83.47,57.41,92.23,92.23,83.25,83.25,113.45,113.45,130.11,130.11,125.64,125.64
Tomm6,111.68,111.68,96.31,61.68,0,85.91,129.24,129.24,129.24,111.5,111.5,111.5,125.49,125.49,125.49,106.04,106.04,106.04,103.61,73.82,9,111.36,85.39,8.49,89.06,96.59,96.59,89.06,111.51,77.32,131.3,77.32,112.06,112.06,111.74,111.74,162.13,162.13,108.29,108.29,123.67,123.67
Trav4n-3,0,0,3.97,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,2.82,0,0,0,0,0,0,1.48,0,0,0,9.11,9.11,0,0,5.77,5.77,0,0,7.26,7.26
Anp32e,141.18,141.18,86.4,29.89,108.92,36.03,106.85,106.85,106.85,40.38,40.38,40.38,128.3,128.3,128.3,125.38,125.38,125.38,93.66,19.85,58.9,129.23,19.08,19.25,77.17,23.5,23.5,77.17,125.3,106.52,301.65,106.52,66,66,108.9,108.9,135.61,135.61,68.32,68.32,44.25,44.25
Rnf186,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11274,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26377,0,0,5258.86,2028.48,0,4449.49,0,0,0,0,0,0,0,0,0,2174.3,2174.3,2174.3,766,3680.7,0,0,5181.96,0,1649.78,3235.6,3235.6,1649.78,0,0,0,0,0,0,0,0,0,0,3206.88,3206.88,0,0
Col27a1,0.39,0.39,0.33,0.1,0.93,0,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,0.42,0.16,0,0.79,0.18,4.06,0,0.31,0.31,0,0.29,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0
Gm9378,0,0,0.12,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0.83,2.93,0,0,1,1,0,1.16,0,0,0,1.13,1.13,0,0,0.8,0.8,0,0,1.75,1.75
Gabarapl1,7.53,7.53,2.37,2.11,0,3.33,16.84,16.84,16.84,13.99,13.99,13.99,27.1,27.1,27.1,17.5,17.5,17.5,8.51,2.18,4.67,14.32,2.17,0,32.73,39.76,39.76,32.73,21.33,20.1,21.12,20.1,28.07,28.07,24.84,24.84,23.84,23.84,33.32,33.32,30.56,30.56
Gm15582,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0
Sfrp2,0,0,0.12,1.02,51.28,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,4.2,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0
Klhl6,103.75,103.75,125.35,124.73,9.43,349.09,166.91,166.91,166.91,163.3,163.3,163.3,126.64,126.64,126.64,125.65,125.65,125.65,191.7,119.17,0,208.82,109.87,0,77.94,47.01,47.01,77.94,59.65,172.2,294.48,172.2,148.85,148.85,173.48,173.48,60.1,60.1,89.33,89.33,14.15,14.15
Gm15731,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0,0,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hs3st3b1,7.19,7.19,6.11,10.01,0,14.81,32.46,32.46,32.46,6.07,6.07,6.07,21.47,21.47,21.47,3.33,3.33,3.33,36.32,8.1,11.29,42.63,7.83,3,2.1,5.06,5.06,2.1,23.29,1.28,1.81,1.28,6.78,6.78,3.44,3.44,1.23,1.23,3.88,3.88,1.96,1.96
Gpr75,0,0,0,0.17,0,0,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0.05,0,0,0.11,0,0,0,0,0,0,0.03,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0
Gm11524,0,0,0,0,0,0.16,0,0,0,0.54,0.54,0.54,0,0,0,1.04,1.04,1.04,0,0,0,0,0.46,0,0.85,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
